uid,date,symbol,category,trade_type,stock_value,volume
24,29-03-2011,MINDTREE,IT,bought,365,100
24,28-03-2011,MINDTREE,IT,sold,365,50
24,15-04-2011,KOTAKBANK,Financial services,bought,453.95,88
24,04-05-2011,MINDTREE,IT,sold,359.85,50
24,06-06-2011,BOSCHLTD,Auto,bought,7135.05,100
24,25-01-2012,ASHOKLEY,Auto,bought,28,72
24,17-07-2012,MPHASIS,IT,bought,383.15,98
24,16-10-2012,ITC,FMCG,bought,285,95
24,30-10-2012,SBIN,Financial services,bought,2169,70
24,14-12-2012,M&M,Auto,bought,940,105
24,20-05-2013,ITC,FMCG,sold,335,81
24,17-04-2014,GODREJCP,FMCG,bought,840,38
24,27-05-2014,M&M,Auto,sold,1240.15,55
24,08-07-2014,HINDUNILVR,FMCG,bought,627,88
24,29-09-2014,CIPLA,Pharma,bought,612,43
24,05-05-2015,GLAXO,Pharma,bought,3175,66
24,23-07-2015,CIPLA,Pharma,sold,675,43
24,24-07-2015,BOSCHLTD,Auto,sold,23625.3,79
24,20-10-2015,M&M,Auto,sold,1282,43
24,08-01-2016,SUNPHARMA,Pharma,bought,795,61
