uid,date,symbol,category,trade_type,stock_value,volume
32,18-01-2011,EXIDEIND,Auto,bought,156,91
32,27-09-2011,EXIDEIND,Auto,sold,133.95,81
32,12-12-2011,MINDTREE,IT,bought,406,50
32,27-03-2012,AXISBANK,Financial services,bought,1154,36
32,03-05-2012,GLENMARK,Pharma,bought,325.95,78
32,01-06-2012,TATAMOTORS,Auto,bought,235,31
32,05-10-2012,ICICIBANK,Financial services,bought,1100,100
32,26-10-2012,BOSCHLTD,Auto,bought,8820,80
32,06-02-2013,BOSCHLTD,Auto,sold,9015.05,60
32,03-05-2013,AXISBANK,Financial services,sold,1513,27
32,16-08-2013,ICICIBANK,Financial services,sold,894,62
32,09-10-2013,TECHM,IT,bought,1428,77
32,01-11-2013,M&M,Auto,bought,885.2,76
32,05-08-2014,GLAXO,Pharma,bought,2480.9,60
32,15-12-2014,SOBHA,Realty,bought,485,97
32,03-02-2015,MINDTREE,IT,sold,1329.9,20
32,18-02-2015,APOLLOTYRE,Auto,bought,188,21
32,17-03-2015,WIPRO,IT,bought,650,100
32,10-11-2015,WIPRO,IT,sold,560.95,80
32,02-12-2015,ASHOKLEY,Auto,bought,93.5,26
